unit_hmy,Property_Code,Unit_Code,StartDate,EndDate,sStatus,VacantDate,ReadyDate,Floor_Code,hbldg,Bldg_Code,Address_1,Address_2,Address_3,Address_4,City,Zip_Code,Country,Rent,SQFT,Rent_Ready,Exclude,Unit_Type,Bedrooms,Baths,Attributes_2,Attributes_5,Attributes_6,Attributes_8,Attributes_9,Attributes_10,dtLastModified,sFirstName,sLastName,scode
3,44400002,"A-0101  ","09/07/2020",,"Vacant Unrented Not Ready","29/06/2020",,,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.28,0,0,"02_A_A1 ",1,1,,,,,,,"09/07/2020",,,
4,44400002,"A-0102  ","12/06/2020",,"Model",,"12/06/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.28,0,0,"02_A_A1 ",1,1,,,,,,,"12/06/2020",,,
5,44400002,"A-0201  ","12/06/2020",,"Vacant Unrented Not Ready","12/06/2020","18/05/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.28,0,0,"02_A_A1 ",1,1,,,,,,,"12/06/2020",,,
6,44400002,"A-0204  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
7,44400002,"A-0205  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
8,44400002,"A-0208  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
9,44400002,"A-0301  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
10,44400002,"A-0304  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
11,44400002,"A-0305  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
12,44400002,"A-0308  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
13,44400002,"A-0401  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
14,44400002,"A-0404  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
15,44400002,"A-0405  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
16,44400002,"A-0408  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
17,44400002,"A-0501  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
18,44400002,"A-0504  ","03/03/2020",,"Vacant Unrented Not Ready",,"01/10/2020",,1,"h5.a","2 New Lion Way","","","","London","SE17 1GS","UK",2487,539.2764,0,0,"02_A_A1 ",1,1,,,,,,,"03/03/2020",,,
